id	lang	idiom	type	genlang_point	map	feature	value_3	value	source	page	comment	contributor	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment
1	Agul	Central	dialect_toplevel	yes	yes	spatial case systems	no_further_orientation	bipartite	magometov1970	81		Alexandra Nogina		ustːul.i-l-∅ aldi'a kitab	На столе есть книга	There's a book on the table	table.erg-sup-ess  to_be book	magometov1970	82	
2	Akhvakh	Northern Akhvakh	dialect_toplevel	yes	yes	spatial case systems	no_further_orientation	bipartite	magomedbekova1967	60		Alexandra Nogina		de-de wacːo-g-a kaɣa qwar-e-de	Я к брату письмо написал	I wrote a letter to my brother	I-erg brother.obl-sup-al letter write-pst-1sg	magomedbekova1967	62	
3	Andi	Andi	village	yes	yes	spatial case systems	no_further_orientation	bipartite	cercvadze1965	340		Alexandra Nogina		šišu-l-a	в бутылке	in the bottle	bottle-in-ess	cercvadze1965	341	
4	Archi	Archib	village	yes	yes	spatial case systems	no_further_orientation	bipartite	mikailov1967	56		Alexandra Nogina		hol.li-t-∅ noc' ƛij-di-li	На ветке птица сидит	A bird sits on a branch	branch.erg-sup-ess bird sit-term-cvb	mikailov1967	60	
5	Armenian	Eastern Armenian	dialect_toplevel	yes	yes	spatial case systems	no_further_orientation	monopartite	dum-tragut2009	80		Alexandra Nogina		aram.ě parap-um ē lsaran-um	Aram studies in the auditorium	Aram studies in the auditorium	Aram.nom-the study-ptcp.pres he_is auditorium-loc	dum-tragut2009	101	
6	Avar	Standard Avar	language			spatial case systems	no_further_orientation	?bipartite	forkerdraft2020	6		Alexandra Nogina		dun ħej.al-d-e ine b-ugo	I will go on the Hajj	I will go on the Hajj	I Hajj.obl-sup-lat go.inf n-cop	forkerdraft2020	NA (11)	example from Axlakov 1976: 24
7	Avar	?	?	yes	yes	spatial case systems	directional	tripartite	testelets1980	39	Сочетается с лативом и аблативом	Alexandra Nogina		ganč'i-ƛ-e-hun šur-ana boroh'	По направлению под камень поползла змея	A snake crawled in the direction of under-the-stone	stone-sub-lat-dir crawl-aor snake	testelets 1980	NA (40)	example from Uslar 1889: 82
8	Azerbaijani	Standard Azerbaijani	idiom	yes	yes	spatial case systems	no_further_orientation	monopartite	shiralievsevortyan1971	44		Alexandra Nogina		biz daɣ-dan en-di-k	Мы спустились с горы	We descended from the mountain	we mountain-abl descend-pst-1pl	shiralievsevortyan1971	47	
9	Bagvalal	Kvanada	village	yes	yes	spatial case systems	no_further_orientation	bipartite	kibrik2001	141		Alexandra Nogina		o=w L'er-la-s̄ w=ełi	Он ушел с моста	He left the bridge	this=m bridge-sup-el m=go	kibrik2001	143	
10	Bezhta	Bezhta	village	no	no	spatial case systems	no_further_orientation	?bipartite	madieva1965	71, 145		Alexandra Nogina		bočka.li-l'-co l'aplaʁe boč-o	Из-под бочки лягушка убежала	The frog ran away from under the barrel.	barrel.obl-sub-abl frog.obl run-pst	madieva1965	74	
11	Bezhta	?	?	yes	yes	spatial case systems	approximative	tripartite	testelets1980	40	Сочетается с эссивом, лативом и элативом, но с лативом и элативом обладает директивным значением	Alexandra Nogina		do märä-L'ä-dä: ečen-äj	Я где-то близ вершины горы стою	I'm standing somewhere near the top of the mountain	I mountain-cont.ess-approx stand-pst	testelets 1980	40	
