id	lang	idiom	type	feature	value	case_as_in source	case	source	page	comment	contributor	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment
1	Agul	Agul?	idiom?	class agreement slot in case paradigms	NA			magometov1970	NA		Varvara Popova									
2	Akhvakh			class agreement slot in case paradigms	 	genetive	genetive	magomedbekova1967	53											
3	Akhvakh	Northern Akhvakh	idiom?	class agreement slot in case paradigms	 			creisselsdraft2020	8	mediative case??	Varvara Popova	-guɬe(he); -guɬe(ho)	hudo komoki-ɬːi-guɬo 	hudo komoki-ɬːi-guɬo 	with their help	with their help				
4	Akhvakh			class agreement slot in case paradigms	 					см. с.56??? исторически восходит??	Varvara Popova									
5	Andi			class agreement slot in case paradigms	 			chumakinadraft2020	4	affective	Varvara Popova		imu-r-o c’ul r-ison	imu-r-o c’ul r-ison	father found a stick	father found a stick	father(I)-V.SG-AFF stick(V)[SG.ABS] V.SG-find.AOR	chumakinadraft2020; based on Salimov 2010: 105	4	
6	Andi	Rikvani	village	class agreement slot in case paradigms	 			suleymanov1957	131	genetive	Varvara Popova									
7	Andi		idiom	class agreement slot in case paradigms	 			suleymanov1957	236-240	genetive, affective	Varvara Popova									
8	Archi	Archib	village	class agreement slot in case paradigms	NA			mikailov1967	NA		Varvara Popova									
9	Armenian			class agreement slot in case paradigms							Varvara Popova									
10	Avar			class agreement slot in case paradigms							Varvara Popova									
11	Azerbaijani			class agreement slot in case paradigms							Varvara Popova									
8	Bagvalal	Kvanada	village	no	Agreement slot in case paradigm	non-spacial	1	kibrik2001	139		Rita Popova									
9	Bats	Bats	village	yes	Agreement slot in case paradigm	NA		holiskygagua94	NA		Rita Popova									
10	Bezhta	Bezhta	village	yes	Agreement slot in case paradigm	NA		madieva1967	NA		Rita Popova									
11	Botlikh	Botlikh	village	yes	Agreement slot in case paradigm	non-spacial	1	alekseyevverhees2020	NA		Rita Popova									
12	Budukh	Budukh	idiom	yes	Agreement slot in case paradigm	NA		talibov2007	NA		Rita Popova									
13	Chamalal	Upper Gakvari	village	yes	Agreement slot in case paradigm	non-spacial	1	bokarev1949	39		Rita Popova									
14	Chechen	Standard Chechen	idiom	yes	Agreement slot in case paradigm	NA		nichols1994	NA		Rita Popova									
15	Dargwa	Mehweb	village	no	Agreement slot in case paradigm	spacial		danielganenkov2008	NA	ЮА: во всех даргинских так, надо собрать по максимуму	Rita Popova									
16	Godoberi	Godoberi	idiom		Agreement slot in case paradigm	non-spacial	1	saidova1973	65		Rita Popova									
17	Hinuq				Agreement slot in case paradigm	NA		Forker			Rita Popova									
18	Hunzib				Agreement slot in case paradigm	NA		van der Berg			Rita Popova									
19	Ingush				Agreement slot in case paradigm	NA		nichols2011		lost agreement	Rita Popova									
21	Karata	Karata	village	yes	Agreement slot in case paradigm	NA		magomedbekova1971	76		Rita Popova									
22	Khinalug	Khinalug	village	yes	Agreement slot in case paradigm	NA		kibriketal1972	NA		Rita Popova									
20	Khwarshi	Kwantlada	village	yes	Agreement slot in case paradigm	NA		khalilova2009	NA		Rita Popova									
23	Kryz				Agreement slot in case paradigm	NA		authier2009	NA		Rita Popova									
24	Kumyk				Agreement slot in case paradigm						Rita Popova									
25	Lak				Agreement slot in case paradigm	spacial		danielganenkov2008	NA		Rita Popova									
26	Lezgian				Agreement slot in case paradigm	NA		alekseev1985	133	lost agreement	Rita Popova									
27	Nogai				Agreement slot in case paradigm						Rita Popova									
28	Rutul	Borch-Hnov			Agreement slot in case paradigm	non-spacial		ibragimov2004	202		Rita Popova									
	Dargwa	Sanzhi			Agreement slot in case paradigm	spacial		forker??			Rita Popova									
29	Tabasaran				Agreement slot in case paradigm	NA		magometov1965	NA		Rita Popova									
30	Tindi	Tindi	idiom	yes	Agreement slot in case paradigm	non-spacial	1	magomedova2012	70		Rita Popova									
31	Karata	Tokita	village		Agreement slot in case paradigm	spacial	1	chumakina2019	4		Rita Popova									
	Karata	Tokita			Agreement slot in case paradigm	non-spacial	1	danielganenkov2008	NA		Rita Popova									
	Karata	Karata				non-spacial														
31	Tsakhur				Agreement slot in case paradigm	non-spacial		kibriketal1999	352, 357		Rita Popova									
32	Tsez				Agreement slot in case paradigm	NA		comrie2007	NA		Rita Popova									
